x-position,y-position,x-velocity,y-velocity,x-observable,y-observable
0.00,0.00,0.00,0.00,0.13,-0.31
0.00,0.10,0.00,0.10,0.73,-1.00
0.00,0.20,0.00,0.10,-0.14,-0.03
0.00,0.30,0.00,0.10,-0.37,1.55
0.00,0.40,0.00,0.10,-1.44,2.15
0.00,0.50,0.00,0.10,1.32,0.17
0.00,0.60,0.00,0.10,-1.74,-0.21
0.00,0.70,0.00,0.10,0.11,-0.63
0.00,0.90,0.00,0.20,-1.37,2.32
0.00,1.10,0.00,0.20,1.50,3.03
0.10,1.30,0.10,0.20,-1.45,2.02
0.20,1.40,0.10,0.10,-0.80,3.00
0.20,1.50,0.00,0.10,0.37,0.82
0.10,1.50,-0.10,0.00,-0.52,1.45
0.00,1.50,-0.10,0.00,0.38,1.51
-0.10,1.40,-0.10,-0.10,0.22,0.53
-0.20,1.30,-0.10,-0.10,-0.54,2.61
-0.20,1.30,0.00,0.00,0.58,1.57
-0.30,1.30,-0.10,0.00,-0.99,1.32
-0.40,1.30,-0.10,0.00,1.19,2.22
-0.50,1.20,-0.10,-0.10,1.05,-1.08
-0.70,1.10,-0.20,-0.10,0.74,1.10
-0.90,1.00,-0.20,-0.10,-1.29,-0.16
-1.10,0.80,-0.20,-0.20,-1.59,-0.96
-1.20,0.50,-0.10,-0.30,-1.52,0.68
-1.30,0.20,-0.10,-0.30,0.55,-0.02
-1.40,-0.10,-0.10,-0.30,-1.40,-0.88
-1.60,-0.40,-0.20,-0.30,-2.08,-0.79
-1.80,-0.70,-0.20,-0.30,-2.25,-0.68
-2.00,-1.00,-0.20,-0.30,-3.65,-2.44
-2.20,-1.30,-0.20,-0.30,-3.66,-0.69
-2.30,-1.70,-0.10,-0.40,-2.12,-1.57
-2.30,-2.10,0.00,-0.40,-3.08,-1.23
-2.30,-2.50,0.00,-0.40,-2.44,-2.98
-2.20,-3.00,0.10,-0.50,-0.14,-2.79
-2.10,-3.50,0.10,-0.50,-2.62,-4.22
-2.00,-4.00,0.10,-0.50,-1.70,-3.99
-1.90,-4.60,0.10,-0.60,0.26,-3.17
-1.80,-5.20,0.10,-0.60,-3.15,-3.88
-1.70,-5.80,0.10,-0.60,-0.38,-7.87
-1.60,-6.30,0.10,-0.50,-0.94,-5.86
-1.50,-6.80,0.10,-0.50,-1.10,-7.06
-1.40,-7.40,0.10,-0.60,-1.06,-8.66
-1.40,-8.00,0.00,-0.60,-1.28,-7.61
-1.40,-8.60,0.00,-0.60,-1.46,-8.05
-1.40,-9.20,0.00,-0.60,-1.45,-9.24
-1.40,-9.70,0.00,-0.50,-2.67,-8.43
-1.50,-10.20,-0.10,-0.50,-3.04,-9.53
-1.60,-10.70,-0.10,-0.50,-1.66,-10.99
-1.80,-11.10,-0.20,-0.40,-2.90,-11.79
-2.00,-11.50,-0.20,-0.40,-0.66,-10.59
